Nom de l'offre touristique;SyndicObjectID;Type de l'offre;Catégorie de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;widget pour zoover;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Types d'équipements locatifs sur le camping;Services proposés sur place;Naturisme;Nombre emplacements pour les campings;Nombre emplacements pour les campings car;Nombre emplacements équipés avec locatif pour les campings;Nombre emplacements nus pour les campings;Nombre emplacements résidentiels pour les campings;Nombre emplacements saisonniers pour les campings;Surface en hectares;Groupe accepté: oui / non;Labels;Chaînes;Classements préfectoral;Langues parlées à l'accueil;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Nom du contact/Tel contact/mail contact;Nom centrale de réservation en ligne;Moyen(s) de réservation en ligne;Tarifs;Modes de paiement acceptés;localisation;departement
CAMPING MUNICIPAL DES BRIOTAIS;HPAPDL044V5001FT;Camp de tourisme;Non Classé;;;Rue de Tugny;;44110;CHATEAUBRIANT;44036;47.7036463;-1.3794345;;;02 40 81 14 38;;;www.mairie-chateaubriant.fr;;;;;;oui;;;non;;;;;non;35;;;;;;;;;;;Allemand,Anglais,Espagnol;;non;;Mairie de Châteaubriant 02 40 81 02 32 ||02 40 81 14 38||h.menet@ville-chateaubriant.fr;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||8,00||||,Tarif adulte supplémentaire / nuit||2,50||||,Tarif enfant supplémentaire / nuit||2,00||||,Tarif électricité / nuit||3,50||||;Chèques bancaires et postaux,Chèques Vacances;47.7036463, -1.3794345;Loire-Atlantique
Camping Slow Village Pornic;HPAPDL044000051;Camp de tourisme;4 étoiles;;;2 route de la Tabardière;;44770;LA PLAINE-SUR-MER;44126;47.14087;-2.1528;Aéroport/aérodrome||Aéroport Nantes Atlantique||53,Gare SNCF||Gare de Pornic||6,Transport en commun||Bus Lila||3,5,Gare routière||st nazaire||25;;02 40 21 58 83;;;https://www.slow-village.com/destinations/pays-de-la-loire/pornic/;http://www.oocamping.com/camping/La-Tabardiere-c29836.html;Facebook||https://www.facebook.com/Camping.La.Tabardiere.Pornic,Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g1080864-d3860259-Reviews-Camping_La_Tabardiere-La_Plaine_sur_Mer_Loire_Atlantique_Pays_de_la_Loire.html,Pinterest||;;;;oui;admis dans le camping et les hébergements;;non;EV1-La Vélodyssée;Espace aqua-ludique,Piscine,WiFi;Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;non;224;;128;27;;;8;;;;;Anglais,Espagnol;non;;22/05/2025||30/06/2025||||||09:00||12:30||14:00||18:00||||||||||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||||,01/07/2025||31/08/2025||||||08:30||20:00||||||08:30||20:00||||||08:30||20:00||||||08:30||20:00||||||08:30||20:00||||||08:30||20:00||||||08:30||20:00||||,01/09/2025||02/11/2025||||||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||||;Camping la tabardière||02 40 21 58 83||info@camping-la-tabardiere.com;||http://premium.secureholiday.net/fr/581/search.html?1=1||https://www.camping-la-tabardiere.com||02 40 21 58 83||info@camping-la-tabardiere.com;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.14087, -2.1528;Loire-Atlantique
L'Hermitage des Dunes;HPAPDL044000064;Camp de tourisme;3 étoiles;;;Rue du Bois Millet;;44760;LES MOUTIERS-EN-RETZ;44106;47.06515;-2.01364;Aéroport/aérodrome||Nantes-Atlantique||40,Gare SNCF||TER - Nantes-Pornic||1,5,Transport en commun||Car Lila||1,5,Route (nationale/départ.)||RD 13||2;;02 40 64 64 00;;;http://www.hermitagedesdunes.com;;Facebook||https://www.facebook.com/hermitagedesdunes;;;;oui;;;non;;Piscine,WiFi;Mobil-Home;Snack/Restaurant;non;88;;27;61;20;68;2;;;;;Anglais;non;;29/03/2024||04/11/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;L'Hermitage des Dunes||||;||http://www.hermitagedesdunes.com/||||02 40 64 64 00||hermitage.des.dunes@wanadoo.fr;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.06515, -2.01364;Loire-Atlantique
Camping du Chêne - Seasonova ***;HPAPDL044000124;Camp de tourisme;3 étoiles;;;1 route du Lac;;44450;SAINT-JULIEN-DE-CONCELLES;44169;47.251213;-1.3718318;Gare SNCF||Gare de Thouaré sur loire||7,Aéroport/aérodrome||Nantes Atlantique||25,Transport en commun||Car lila lignes 30 et 33||0,2,Autoroute||sortie 44 Porte du vignoble ||10;;02 40 54 12 00;;;https://vacances-seasonova.com/fr/camping/camping-du-chene/;;Facebook||https://www.facebook.com/vacances.seasonova,Instagram||https://www.instagram.com/seasonova_vacances/?hl=fr;;;;oui;;;non;EV6-La Loire à Vélo;Piscine,Piscine couverte,Prise électrique,WiFi;Mobil-Home,Tente Bivouac;Location/prêt de vélo,Snack/Restaurant;non;98;21;44;54;0;;2,5;oui;Accueil Vélo,Destination d'excellence,La Loire à vélo,Qualité Tourisme;;;Allemand,Anglais,Français;non;non;;Camping du Chêne||||;||https://vacances-seasonova.com/fr/camping/camping-du-chene/||||||camping-duchene@vacances-seasonova.com;oui;;Cartes bancaires,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;47.251213, -1.3718318;Loire-Atlantique
Camping à la ferme - Les rangs d'oignons;HPAPDL044V510W1T;Camping à la ferme;Non Classé;;;22 allée de Clermont;;44850;LE CELLIER;44028;47.329081;-1.345148;Gare SNCF||Gare du Cellier||2,Route (nationale/départ.)||RD723||2,5;06 10 66 95 50;;;;https://www.lesrangsdoignons.com/;;Facebook||https://www.facebook.com/LesRangsdOignons;;;;oui;Les animaux sont sous la responsabilité de leurs maîtres et tenus en laisse. Les déjections doivent être ramassées. Présence d'animaux sur la ferme.;;non;EV6-La Loire à Vélo;Local vélo,Prise électrique;Tente,Tipi;Commerce alimentaire;non;6;0;1;5;;;;oui;Accueil Paysan,Accueil Vélo,La Loire à vélo;;;Anglais,Français;non;non;;Lia Cochin||06 10 66 95 50||lesrangsdoignons@gmail.com;;;Tarif adulte supplémentaire / nuit||10,00||10,00||,Tarif enfant supplémentaire / nuit||6,00||6,00||;Chèques bancaires et postaux,Espèces;47.329081, -1.345148;Loire-Atlantique
LES MOUETTES;HPAPDL044000155;Camp de tourisme;1 étoile;;;La Tansorais;;44320;SAINT-PERE-EN-RETZ;44187;47.21919;-2.13753;Gare SNCF||Saint Nazaire||15,Aéroport/aérodrome||Nantes Atlantique||48,Autoroute||A11 et A83||60;06 82 81 35 75;09 81 81 11 20;;;;;;;;;oui;;;non;;;Mobil-Home;;non;;;;55;20;56;1,07;;;;;Français;non;;;M. et Mme PORCHER||02 40 27 27 31||;;;;Chèques Vacances,Espèces;47.21919, -2.13753;Loire-Atlantique
Camping de la Plage;HPAPDL044000067;Camp de tourisme;2 étoiles;;;53 route de la Bernerie;;44760;LES MOUTIERS-EN-RETZ;44106;47.06942;-2.0144;Gare SNCF||TER ligne 10 – Nantes/Pornic||1,Transport en commun||Car Lila Ligne 3 - Nantes/Pornic||1,5,Route (nationale/départ.)||RD97 Les Moutiers - La Bernerie||0,Aéroport/aérodrome||Nantes - Atlantique||40,Autoroute||A 11 Paris - Nantes||40,Autoroute||A83 Bordeaux - Nantes||40;06 08 75 40 14;;;;https://www.camping-la-plage-des-oliviers.com/;;;;;;;selon type d'hébergement;;non;;Piscine,WiFi;Mobil-Home;;non;;;5;0;100;0;4,1;;;;;Anglais;non;;;Camping le domaine résidentiel de la Plage||02 51 93 55 26||rvl@thr-rvl.fr;;;;;47.06942, -2.0144;Loire-Atlantique
AIRE NATURELLE DE CAMPING - ÉTANG DE GRUELLAU;HPAPDL044000010;Aire naturelle;Non Classé;;;;Étang de Gruellau;44170;TREFFIEUX;44208;47.6027643;-1.5265291;Transport en commun||Gare de tram-train d'Abbaretz||5,Route (nationale/départ.)||Nantes (RN137)||53;06 82 18 47 05;;;;https://www.treffieux.fr/site-de-gruellau-2/;;Facebook||https://www.facebook.com/p/Les-amis-de-gruellau-100064164999765/?paipv=0&eav=AfYk4PNSGrfVVLXBAai2vYwGRqP6B28Sz3liQLpZxqTu9Nf9MSTqM3_5377LLyCll3A&_rdr;;;;oui;Attachés et tenus en laisse. Animaux non acceptés dans les mobil-homes;;non;;WiFi;Mobil-Home;;non;26;;2;24;;;0,6;oui;;;;Français;non;non;;Sylvain Jutard ||06 82 18 47 05||sylvain.jutard@sfr.fr,Sylvain Jutard ||06 03 38 60 54||sylvain.jutard@sfr.fr;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.6027643, -1.5265291;Loire-Atlantique
Le Thar Cor;HPAPDL044000131;Camp de tourisme;3 étoiles;;;43 avenue du Cormier;;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.15995;-2.16814;||||8,Gare SNCF||PORNIC||8,Autoroute||NANTES-PARIS ET NANTES-BORDEAUX||50,Route (nationale/départ.)||||0;;02 40 27 82 81;;;http://www.camping-le-thar-cor.com;;;;;;oui;tenu en laisse. Catégories 1 et 2 interdites;;;;Espace aqua-ludique,Piscine couverte,WiFi;Mobil-Home;Snack/Restaurant;non;;22;36;134;112;134;6;;;;;Anglais,Espagnol;non;;26/04/2024||15/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Madame BRUN Isabelle OU Mademoiselle GIRAUD Anne||02 40 27 82 81||camping@letharcor.com;||http://www.camping-le-thar-cor.com/camping-tharon-plage.php||http://www.camping-le-thar-cor.com/camping-tharon-plage.php||02 40 27 82 81||camping@letharcor.com;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.15995, -2.16814;Loire-Atlantique
Camping - Le Bois de Beaumard;HPAEBOISDEBEAUMARD;Camp de tourisme;3 étoiles;;;1 Rue de l'Île de Beaumard;;44160;PONTCHATEAU;44129;47.45485;-2.11059;;06 26 68 46 86;02 40 88 03 36;;;http://www.camping-beaumard.com;;;;;;oui;;;non;;WiFi;Caravanes,Mobil-Home;;;48;;8;48;;;;;;;;Anglais;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.45485, -2.11059;Loire-Atlantique
Aire naturelle de la Ferme de Pen Bé;HPAEPENBE;Aire naturelle;;;;12 route de l'Estran;Pen Bé;44410;ASSERAC;44006;47.42574;-2.45513;;06 07 50 43 84;06 30 26 89 13;;;http://campingdepenbe.fr/camping-penbe-pen-be-asserac.html;;;;;;oui;;;;;;Caravanes;;;;25;;;;;2;;;;;Anglais;;;;;;;;Chèques bancaires et postaux;47.42574, -2.45513;Loire-Atlantique
Camping - L'Océan;HPAELOCEAN;Camp de tourisme;5 étoiles;;;15 route de la Maison Rouge;BP 15;44490;LE CROISIC;44049;47.29602;-2.53573;;;02 40 23 07 69;02 40 15 70 63;;http://www.camping-ocean.com;;;;;;oui;;;non;;Espace aqua-ludique,Espace Bien-être,Piscine couverte,Salle de sport,Tennis,WiFi;Mobil-Home;;;400;60;230;60;;;;;Camping Qualité,Qualité Tourisme;;;Anglais,Espagnol;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.29602, -2.53573;Loire-Atlantique
Camping - Les Flots Bleus;HPAELESFLOTSBLEUS;Camp de tourisme;2 étoiles;;;16 Rue du mané;;44420;PIRIAC-SUR-MER;44125;47.37691;-2.55069;;06 63 01 84 25;02 40 23 51 71;;;http://www.campinglesflotsbleus.com;;;;;;oui;;;non;;WiFi;Mobil-Home,Tente;;;83;22;8;22;;;;;;;;;;;01/04/2025||01/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.37691, -2.55069;Loire-Atlantique
Le Bel Air ****;HPAEBELAIR;Camp de tourisme;4 étoiles;;;165 avenue de Bonne Source;;44380;PORNICHET;44132;47.24831;-2.32372;;;02 40 61 10 78;;;https://www.belairpornichet.fr;;;;;;oui;Infos complémentaires :;;non;V45-Vélocéan Nord Loire;WiFi;Mobil-Home,Roulotte;;;312;7;30;109;;;6;;Accueil Vélo;;;Anglais,Espagnol;;;27/03/2026||01/11/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.24831, -2.32372;Loire-Atlantique
Camping - Village vacances Cévéo Château de Tréambert;HPAHPAECHATEAUDETREAMBERT;Camp de tourisme;3 étoiles;;;1900 route de Kerlagadec;Château de Tréambert;44420;MESQUER;44097;47.3977;-2.47468;;;02 40 42 51 18;;;https://www.ceveo.com/;;;;;;oui;;;;;Piscine,Tennis,WiFi;Bungatoile,Tente;;;207;15;163;44;;;;;;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3977, -2.47468;Loire-Atlantique
Camping - Les Boutons d'Or;HPAECAMPINGBOUTONSDOR;Camp de tourisme;1 étoile;;;20, rue de Grenouillet;;44420;PIRIAC-SUR-MER;44125;47.37859;-2.5482;;;02 40 23 50 18;;;;;;;;;oui;;;non;;;;;;106;;;;;;;;;;;;;;;;;;;;47.37859, -2.5482;Loire-Atlantique
LA PÊCHERIE - CAMPING LE PAS DU GÛ;HPAHPAEPASDUGUPECHERIE;Camp de tourisme;1 étoile;;;28 Le Pas du Gû;;44250;SAINT-BREVIN-LES-PINS;44154;47.22073;-2.15374;;06 78 01 29 67;02 40 27 07 22;;;http://www.campingpasdugu.net;;;;;;non;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;WiFi;;;;;;;;;;;;Accueil Vélo,La Loire à vélo,La Vélodyssée;;;;;;15/06/2024||15/09/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Locatif / semaine||390,00||390,00||;;47.22073, -2.15374;Loire-Atlantique
Camping - Le Segréen;HPAHPAELESEGREEN;Camp de tourisme;;;;7 rue du Clos Mora;;44420;LA TURBALLE;44211;47.35163;-2.5058;;;06 71 93 07 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/07/2025||30/08/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.35163, -2.5058;Loire-Atlantique
Camping - Le Welcome;HPAELEWELCOME;Camp de tourisme;3 étoiles;;;941 route de Bel Air;;44420;MESQUER;44097;47.40608;-2.46818;;;02 40 42 50 85;;;http://www.lewelcome.com;;;;;;oui;;;non;;Piscine couverte,WiFi;Mobil-Home;;;100;;35;;;;;;;;;Anglais;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.40608, -2.46818;Loire-Atlantique
Les Forges ***;HPAEFORGES;Camp de tourisme;3 étoiles;;;98 route de la Villès Blais;;44380;PORNICHET;44132;47.26719;-2.29614;;;02 40 61 18 84;;;http://www.campinglesforges.com;;;;;;oui;Infos complémentaires :;;non;;Espace Bien-être,Piscine couverte,WiFi;Mobil-Home;;;141;;30;15;;;2;;;;;Anglais;;;04/07/2026||30/08/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.26719, -2.29614;Loire-Atlantique
Camping - Les Chardons Bleus;HPAECHARDONSBLEUS;Camp de tourisme;4 étoiles;;;Boulevard de la Grande Falaise;;44420;LA TURBALLE;44211;47.32932;-2.49751;;;02 30 07 43 83;;;https://www.campingleschardonsbleus.com/;;;;;;oui;;;non;;Espace aqua-ludique,Piscine,Piscine couverte,WiFi;Bungatoile,Mobil-Home;;;300;;300;;;;;;;;;Anglais,Espagnol;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Virement;47.32932, -2.49751;Loire-Atlantique
Camping - Parc Sainte Brigitte;HPAEPARCSTEBRIGITTE;Camp de tourisme;5 étoiles;;;Chemin des routes;Route de La Turballe;44420;LA TURBALLE;44211;47.34206;-2.47178;;;02 40 24 88 91;;;http://www.campingsaintebrigitte.com;;;;;;oui;;;non;V45-Vélocéan Nord Loire;WiFi;Caravanes,Mobil-Home,Tente;;;165;;18;142;;;10;;Accueil Vélo;;;Anglais;;;;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||25,25||25,25||,Locatif / semaine||390,00||750,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.34206, -2.47178;Loire-Atlantique
CAMPING LA DETENTE;HPAPDL044V503A5J;Camping à la ferme;;;;La Gannerais;;44520;LA MEILLERAYE-DE-BRETAGNE;44095;47.5732328;-1.3882612;;06 87 02 24 15;02 40 55 23 80;;;;;;;;;oui;;;non;;;Caravanes,Mobil-Home;;;6;;;;;;2100;;Gîtes de France;;;;;non;;;Gîtes de France||https://www.gites-de-france.com/fr/pays-de-la-loire/loire-atlantique/la-detente-h44c011600||||||;oui;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||7,00||||Garage mort,Tarif adulte supplémentaire / nuit||2,00||||,Tarif électricité / nuit||2,50||||;Chèques Vacances;47.5732328, -1.3882612;Loire-Atlantique
LA CHALAN D'HIER;HPAPDL044V51CQZM;Camp de loisirs;Non Classé;;;Lieu-dit La Chalandière;;44390;NORT-SUR-ERDRE;44110;47.44127;-1.54104;;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;||https://lachalandhier.fr/hebergements||||||;oui;;;47.44127, -1.54104;Loire-Atlantique
AIRE DE BIVOUAC;HPAPDL044V511BM9;Aire naturelle;Non Classé;;;Mazerolles;;44240;SUCE-SUR-ERDRE;44201;47.363027;-1.5094632;;;02 40 77 70 20;;;;;;;;;;;;non;EV1-La Vélodyssée,Régalante;;;;non;6;;;;;;;;Accueil Vélo,La Vélodyssée;;;;oui;non;;;||https://www.espace-citoyens.net/suce-sur-erdre/espace-citoyens/Demande/NouvelleDemande/HALNAT/DECBIVOUAC||||||;oui;;;47.363027, -1.5094632;Loire-Atlantique
Camping - Eden Villages - Domaine de Bréhadour;HPAEBREHADOUR;Camp de tourisme;4 étoiles;;;Route de Bréhadour;;44350;GUERANDE;44069;47.34349;-2.41931;;;02 40 17 65 15;02 40 61 97 36;;http://www.eden-villages.fr/campings/domainedebrehadour/;;;;;;oui;;;non;;Espace aqua-ludique,Tennis,WiFi;Mobil-Home,Roulotte;;;260;40;80;140;;;8;;Clef Verte;;;Anglais;;;05/04/2025||05/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.34349, -2.41931;Loire-Atlantique
Centre ANAS;HPAHPAEELMANAS;Camp de tourisme;Non Classé;;;Route du Bois des Tréans;;44760;LES MOUTIERS-EN-RETZ;44106;47.07146;-2.00807;;;02 40 82 72 43;;;;;;;;;;;;;;Piscine;;;;;20;;;;;;;;;;;;;;;;;;;47.07146, -2.00807;Loire-Atlantique
Camping de l'île Mouchet;HPAPDL044V5009CB;Camp de tourisme;3 étoiles;;;Impasse de l'Île Mouchet;BP 90232;44150;ANCENIS-SAINT-GEREON;44003;47.3627773;-1.1872122;Gare SNCF||Gare d'Ancenis||1,3,Autoroute||Autoroute l'aubinière Ancenis||5,Route (nationale/départ.)||RD723||2;06 62 54 24 73;02 40 83 08 43;;;http://www.camping-estivance.com;;Facebook||https://www.facebook.com/Camping-Ile-Mouchet-685243591496086/,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1051955-d8742560-Reviews-Camping_de_l_Ie_Mouchet-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html;;;"<div id=""TA_selfserveprop207"" class=""TA_selfserveprop"">;<ul id=""63Q54e"" class=""TA_links yOhgafOjUq4"">;<li id=""Lpd6LBpyvy"" class=""iyzSma"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=207&amp;locationId=8742560&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";oui;;;non;EV6-La Loire à Vélo;Piscine,WiFi;Bungalow,Cabane,Mobil-Home;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;non;109;;11;98;20;;4,6;oui;Accueil Vélo,La Loire à vélo,Qualité Tourisme,Stop Accueil Camping Car,Vignobles et découvertes;;;Anglais,Espagnol,Français;non;non;;;||https://thelisresa.webcamp.fr/list.php?camping=mouchet44&begin=2025-07-03&end=2025-07-10&type=2&lang=fr&nb_pers=2&_ga=2.250125766.1533991252.1751546900-542788826.1678805491&PHPSESSID=v1bme4arnoe1b8pmeksgjaqprl&duration=7||||||;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3627773, -1.1872122;Loire-Atlantique
CAMPING DU CANAL ***;HPAPDL044000018;Camp de tourisme;3 étoiles;;;4 Rue Henri II de Rohan;;44130;BLAIN;44015;47.4674343;-1.7671327;"Gare SNCF||Gare de Nantes||37,Route (nationale/départ.)||RN 171||0,1,Route (nationale/départ.)||RN 137||11,Halte fluviale||Port de Blain||0,2,Transport en commun||Ligne LILA 11, arrêt ""Place Jollan""||1,Transport en commun||Ligne LILA 71, arrêt ""Gravier""||0,1";;02 40 51 03 51;;;https://www.campingducanal.fr/;;Facebook||https://www.facebook.com/media/set/?set=a.122094855512260627&type=3;;;;oui;Accueil randonneurs équestres;;non;EV1-La Vélodyssée;Piscine,Prise électrique,WiFi;Bungalow,Cabane,Chalet,Mobil-Home,Roulotte,Tente Bivouac;Commerce alimentaire,Snack/Restaurant;non;70;6;10;60;;;2304;oui;Accueil Vélo,La Vélodyssée;;;Anglais,Français;non;non;||||||||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00||10:00||12:00||14:00||19:00;;||https://reservation.secureholiday.net/fr/17956/||||||;oui;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.4674343, -1.7671327;Loire-Atlantique
Camping L'Albatros;HPAPDL044000046;Camp de tourisme;3 étoiles;;;Chemin du Port aux Anes;Les Gautries;44770;LA PLAINE-SUR-MER;44126;47.13973;-2.22751;Gare SNCF||Gare de Pornic||11,Transport en commun||Bus Lila||1,Aéroport/aérodrome||Aéroport Nantes Atlantique||55;;02 40 21  51 88;;;http://www.albatros-camping.com;;Facebook||https://www.facebook.com/pages/Camping-lAlbatros/111660885518620;;;;;chiens et chats 1ère et 2ème catégorie interdits. Carnet de vaccination demandé.;;non;;Piscine,WiFi;Mobil-Home;Commerce alimentaire,Snack/Restaurant;non;65;;8;24;36;;2;;;;;Anglais;oui;;08/03/2025||30/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Camping de l'Albatros||02 40 21 03 77||info@albatros-camping.com;||||||02 40 21 03 77||campinglalbatros@orange.fr;non;Tarif électricité / nuit||4,50||4,50||,Taxe de séjour / nuit / pers||0,66||0,66||;Cartes bancaires,Chèques Vacances,Espèces;47.13973, -2.22751;Loire-Atlantique
LE CAMPING DE MAZEROLLES;HPAPDL044V50UB45;Camping à la ferme;Non Classé;;;713 Le Grand Patis;;44850;SAINT-MARS-DU-DESERT;44179;47.3746951;-1.4527553;Gare SNCF||Gare Nord et Sud Nantes||25,Aéroport/aérodrome||Aéroport Nantes Atlantique||30,Autoroute||A11||8;;;;;https://www.mazerolles.com/camping;;Facebook||https://www.facebook.com/profile.php?id=100089733290448,Instagram||https://instagram.com/lafermedumaraisdemazerolles44/;;;;non;;;non;;Défibrillateur,Prise électrique;Bungatoile;;non;6;0;3;2;0;0;;oui;Bienvenue à la ferme;;;Anglais,Français;;non;;||||gitemazerolles@gmail.com;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||||||TARIF LODGE;Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;47.3746951, -1.4527553;Loire-Atlantique
CAMPING RURAL LE RELAIS DES GARENNES;HPAPDL044V50056O;Camping à la ferme;Non Classé;;;La Bauche Coiffée;;44140;MONTBERT;44102;47.0519628;-1.4788962;Gare SNCF||gare SNCF Nantes accès sud||25,Autoroute||A 83||15,Gare routière||Pirmil||15,Transport en commun||réseau des cars LILA,  ligne 62||1,Aéroport/aérodrome||Nantes Atlantique||20,Route (nationale/départ.)||D 117||2;;02 40 04 78 73;;;http://www.camping-lerelaisdesgarennes.com;;Facebook||https://www.facebook.com/pages/Camping-Rural-le-Relais-des-Garennes/1645476745468079;;;;oui;Sous conditions;;non;;WiFi;;;non;6;;;;;;5000;oui;Gîtes de France,Pré Vert;;;Français;;non;||||Ouvert du 1er Juin au 30  septembre.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Odile et Philippe GENDRON||02 40 04 78 73||lerelaisdesgarennes@gmail.com;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||||||3€ pour le branchement électrique;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.0519628, -1.4788962;Loire-Atlantique
Camping Éléovic;HPAPDL044000113;Camp de tourisme;4 étoiles;;;Route de la Pointe Saint-Gildas;;44770;PREFAILLES;44136;47.1324;-2.23195;Gare SNCF||Pornic||10;;02 40 21 61 60;;;http://www.camping-eleovic.com;;Facebook||https://www.facebook.com;;;;oui;;;non;;Piscine couverte,Salle de sport,WiFi;Mobil-Home,Tente;Commerce alimentaire,Location/prêt de vélo,Snack/Restaurant;non;153;;71;52;;;3;;;;;Allemand,Anglais;;;04/04/2025||28/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;LOUVEL||02 40 21 61 60||contact@camping-eleovic.com;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.1324, -2.23195;Loire-Atlantique
