Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
Gîte de la Vallée;Gîte de groupe;;;425 La Vallée;;44440;TEILLE;;44202;47.4710219;-1.2690711;Route (nationale/départ.)||RD14||0,2;06 13 90 13 04;;;;https://www.gitedelavallee44.fr/;;;;;3 étoiles;Piscine couverte,WiFi;non;;;non;Parking;Gîtes de France;4 épis;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;7;5;1;13;15;;;;Propriétaire||06 13 90 13 04||;oui;||https://www.gitedelavallee44.fr/tarifs-reservations/||||||,||https://www.gites-de-france.com/fr/pays-de-la-loire/loire-atlantique/gite-de-la-vallee-h44g024294||||||;;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V51AYUK;47.4710219, -1.2690711;Loire-Atlantique
Gîte du Dauphin jusqu'à 15 pers.;Gîte de groupe,Gîte d'étapes;;;7 Rue des Moulins;;53370;SAINT-PIERRE-DES-NIDS;;53246;48.40002;-0.09815;Route (nationale/départ.)||RN 12||10,Autoroute||A 28||20,Itinéraire de randonnée||Alpes Mancelles/mont des Avaloirs||2;06 59 57 18 38;;;;;;;;;Non classé;Local vélo,WiFi;oui;Petits chiens de préférence;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;En cours de classement;;Anglais,Français;Fourniture de linge (gratuit),Option nettoyage / ménage;oui;;7;1;10;15;;oui;;;oui;e-Resa||https://www.airbnb.fr/rooms/36617697?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-22&check_out=2024-03-27&source_impression_id=p3_1709889477_kxZrTVkQSleIe1zw&previous_page_section_name=1000&federated_search_id=8e4e07cf-b484-4edd-ad16-78011e76d||||||;Forfait week-end / pers||26,00||32,00||,Forfait location privative de l'hébergement||750,00||800,00||,Forfait mid-week / pers||20,00||25,00||,Forfait semaine / pers||15,00||20,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL053V50A3P4;48.40002, -0.09815;Mayenne
CENTRE SPORTIF REGIONAL DE LA LIGUE DE FOOTBALL DES PAYS DE LA LOIRE;Centre d'accueil et/ou de vacances;;;170 bd des Pas Enchantés;;44230;SAINT-SEBASTIEN-SUR-LOIRE;;44190;47.2112071;-1.4940958;Transport en commun||Chronobus C9 ou Bus 30 - arrêt Pyramide||0,5,Gare SNCF||Gare des Pas enchantés à St Sébastien||2,Gare SNCF||Gare de Nantes||5,Aéroport/aérodrome||Aéroport Nantes Atlantique||15;;02.40.80.75.50;;;https://centresportifregional.org/;Facebook||https://www.facebook.com/centreregionaltechnique.laf/;;;;;Défibrillateur,WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception;Accueil Vélo,Group'A Vélo,La Loire à vélo,La Vélodyssée,UNAT;;EV1-La Vélodyssée,EV6-La Loire à Vélo,Régalante,Vélidéale;Anglais,Espagnol,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de linge,Nettoyage / ménage (gratuit),Prestation de restauration;oui;3;48;;107;107;;oui;;Elodie||02 40 80 75 50||crt@lfpl.fff.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;VILPDL044000018;47.2112071, -1.4940958;Loire-Atlantique
La Jolie Vilaine, halte pélerine;Gîte d'étapes;;;Rue du Port de Beslé;Beslé-sur-Vilaine;44290;GUEMENE-PENFAO;;44067;47.70119;-1.86817;||sur la ligne Redon-Rennes||;06 12 42 77 96;02 40 87 73 72;;;;;;;;;;non;;;non;;;;;Français;;non;;;;;2;;;01/04/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL044V515TFG;47.70119, -1.86817;Loire-Atlantique
Gîte de la Royère;Gîte de groupe;;;;;44440;PANNECE;;44118;47.48931;-1.16335;;06 80 26 87 57;;;;http://www.gitedelaroyere.fr;Facebook||https://www.facebook.com/Gite-de-la-Royere-281292992031768/?fref=ts;;;;;Piscine;;;;non;Parking;;;;;;;;12;1;28;30;;oui;;;oui;||https://www.gitedegroupe.fr/gite-groupe-Rc-044c.html||||06 80 26 87 57||;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL044V51JWJU;47.48931, -1.16335;Loire-Atlantique
The Originals Boutique, Le Londres hôtel et appartements;;;;48 rue d'Orléans;;49400;SAUMUR;;49328;47.25918;-0.079347;;;02 41 51 23 98;;;https://www.lelondres.com;Facebook||https://www.facebook.com/LeCarreduLondres/,Google+||https://maps.google.com/?cid=1033879708384898525,Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d12995521-Reviews-Le_CARRE_du_LONDRES-Saumur_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/lelondreshotel/?hl=fr;;;;;Borne de recharge pour véhicules électriques,Climatisation,Local vélo,WiFi;oui;;;non;Parking;Clef Verte,Vignobles et découvertes;;;Allemand,Anglais,Espagnol,Français;Prestation de restauration;;10;2;;;10;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||120,00||192,00||,Petit-déjeuner / pers||13,00||14,00||,Taxe de séjour / nuit / pers||1,20||1,20||;Cartes bancaires,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLPDL049V50G9VX;47.25918, -0.079347;Maine-et-Loire
Gîte de la Haute Boulière;;;;La Boulière;;44150;VAIR-SUR-LOIRE;;44163;47.40399;-1.137033;;07 67 37 95 97;;;;;;;;;;WiFi;;;;non;Terrain clos;;;;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;;;5;;9;14;;oui;;;oui;||https://www.hote-zen.fr/location/villa-vair-sur-loire-gite-de-la-haute-bouliere-524921.html||||||;Forfait location privative de l'hébergement||700,00||||;Cartes bancaires,Virement;;;;;;;;;;;HCOLLPDL044V51JU5D;47.40399, -1.137033;Loire-Atlantique
Gîte de Champdorcet;Gîte de groupe;;;;19 Route de Champdorcet;72220;LAIGNE-SAINT-GERVAIS;;72155;47.891579;0.24834299;;06 48 99 21 18;02 43 42 05 38;;;http://www.gite-champdorcet-le-mans.fr/;;;;;;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;;5;;14;50;non;oui;;FOLLENFANT||06 48 99 21 18||champdorcet@orange.fr;oui;Booking||https://www.booking.com/hotel/fr/champdorcet.fr.html?aid=318615&label=New_French_FR_FR_21427174465-Pk3jEylX2FWP%2An3y4lDZiQS637818831021%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666515%3Adsa-162435868585%3Alp9110970%3Ali%3Adec%3Adm%3Aag21427174465%3Acmp339479545&sid||||06 48 99 21 18||champdorcet@orange.fr;;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V50BWK7;47.891579, 0.24834299;Sarthe
LA DUCHERAIS  PEP 44;Centre d'accueil et/ou de vacances;;;;Domaine de la Ducherais;44750;CAMPBON;;44025;47.4127385;-1.9688614;;;02.40.56.74.66;02.40.04.86.97;;http://pep-atlantique-anjou.fr/campbon-la-ducherais/;;;;;;;;;;non;;UNAT;;;Français;;oui;;;;74;74;;oui;;;;;;;;;;;;;;;;;VILPDL044000073;47.4127385, -1.9688614;Loire-Atlantique
Gîte de groupe - Le Domaine du Chesnay;Gîte de groupe;;;;Domaine du Chesnay;72110;COURCEMONT;;72101;48.1801276;0.34777727;;06 80 96 15 50;02 43 29 40 68;;;http://www.gite-domaineduchesnay.com/;;;;;;;;après avis du propriétaire;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;oui;;2;;12;;;oui;||||le week-end uniquement. ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 43 29 40 68||;;;Forfait location privative de l'hébergement||||||Forfait week-end : 950€,Les charges sont comprises dans le forfait;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V5029B8;48.1801276, 0.34777727;Sarthe
GÎTE DE LA MAILLARDIÈRE;;;;;La Maillardière;72220;SAINT-OUEN-EN-BELIN;;72306;47.83287;0.21056;;06 83 87 44 71;02 43 39 93 67;;;https://www.nadegetraiteur.fr/;Facebook||https://www.facebook.com/nadegetraiteur;;;;Non classé;;;;;non;;;;;Français;;oui;;;;;;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50WCGQ;47.83287, 0.21056;Sarthe
Gîte Les Nonnettes du domaine des Mésangères;Gîte d'étapes;;;;Les Mésangères;72270;MEZERAY;;72195;47.840116;-0.0146035;;06 75 27 52 88;;;;http://www.lesmesangeres.com/;Facebook||https://www.facebook.com/pages/Les-G%C3%AEtes-Des-M%C3%A9sang%C3%A8res/684207404925652?fref=ts,Tripadvisor||;;;"<div id=""TA_selfserveprop198"" class=""TA_selfserveprop"">,<ul id=""ENkray0Gky"" class=""TA_links dcR568e"">,<li id=""wgWP2a"" class=""Q1KgLJgpE"">,<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>,</li>,</ul>,</div>,<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp,uniq=198&amp,locationId=6426844&amp,lang=fr&amp,rating=true&amp,nreviews=5&amp,writereviewlink=true&amp,popIdx=true&amp,iswide=false&amp,border=true&amp,display_version=2""></script>,";Non classé;WiFi;oui;;;non;Parking,Plain pied,Salle de réception,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit);oui;;3;1;11;15;oui;oui;;Valérie DEMEULEMEESTER||06 75 27 52 88||contact@lesmesangeres.com;;;Nuitée / hébergement||||||Draps et ménage inclus;Cartes bancaires,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50BWIP;47.840116, -0.0146035;Sarthe
Studios et Appartements au Château de Jalesnes;Gîte de groupe;;;10 rue de Blou;;49390;VERNANTES;;49368;47.392;0.046369;;;02 41 50 60 61;;;https://chateaudejalesnes.com;Facebook||https://www.facebook.com/chateaudejalesnesofficial/,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1208277-d8529799-Reviews-Chateau_de_Jalesnes-Vernantes_Maine_et_Loire_Pays_de_la_Loire.html;https://www.youtube.com/watch?v=I1SeDuowD1c;;;5 étoiles;Local vélo,Piscine,WiFi;oui;;;non;Parking;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit);oui;45;4;13;;45;;oui;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||180,00||250,00||Par chambre par nuit. Chacune de nos suites étant unique - veuillez nous contacter directement pour les tarifs precis;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50FLDG;47.392, 0.046369;Maine-et-Loire
Le Gîte Au Bord de l’Eau;Gîte de groupe,Gîte d'étapes;;;11 avenue des Cadets de Saumur;Gennes;49350;GENNES-VAL-DE-LOIRE;;49261;47.342569;-0.231509;;;07 83 75 42 66;;;http://www.gite-auborddeleau.fr/;Facebook||https://www.facebook.com/eurl.gennes;;;;;WiFi;non;;;non;Cuisine professionnelle,Parking;;;;Anglais,Français;Location de draps;oui;60;15;;59;60;;oui;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / hébergement||1555,00||2265,00||Forfait 2 jours/1 nuit;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50FEHC;47.342569, -0.231509;Maine-et-Loire
Résidence sportive  - Le Mans;Centre d'accueil et/ou de vacances;;;126 Rue Henri Champion;;72100;LE MANS;;72181;47.98238;0.22806;;;02 43 50 21 10;;;https://asajs.sportsregions.fr;Facebook||https://www.facebook.com/profile.php?id=100079855936520;;;;;Espace bien-être;non;;;non;Parking,Salle de réception,Terrain clos;;;;Anglais;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;7;71;;89;89;;;;;;;;;;;;;;;;;;;HCOLLPDL072V50XW1F;47.98238, 0.22806;Sarthe
GÎTE DE GROUPE - LE DOMAINE DES HALLAIS;Gîte de groupe;;;1400 Chemin des Grottes;;53270;SAINT-PIERRE-SUR-ERVE;;53248;47.9962678;-0.4021975;;;;;;http://www.leshallais.fr;Facebook||https://www.facebook.com/pages/Le-Domaine-des-Hallais/266943196650990,Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g196653-d1385732-Reviews-Le_Domaine_des_Hallais-Laval_Mayenne_Pays_de_la_Loire.html;;;;Non classé;Piscine,Piscine couverte,WiFi;non;sauf chiens d'assistance pour handicapés;Déficience auditive,Déficience mentale,Déficience moteur,Déficience visuelle;oui;Cuisine professionnelle,Parking;Gîtes de France;4 épis;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit);oui;6;8;1;26;30;;oui;;MILLS Anita et Mark||02 43 91 77 69||contact@leshallais.fr;;;Forfait location privative de l'hébergement||3450,00||||,Taxe de séjour / nuit / pers||1,00||||;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL053V5000EG;47.9962678, -0.4021975;Mayenne
LA CURE D'ABBARETZ;Gîte de groupe;;;2 rue Boulay Paty;;44170;ABBARETZ;;44001;47.5524355;-1.5319757;;06 58 26 12 34;;;;http://www.lemoulinideal.fr;;;;;Non classé;WiFi;oui;Sur demande;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Anglais,Français;Location de draps,Nettoyage / ménage (gratuit),Prestation de restauration;oui;14;9;51;;44;oui;oui;;;;;Forfait location privative de l'hébergement||||||Week-end;Cartes bancaires,Virement;;;;;;;;;;;HCOLLPDL044V507TM2;47.5524355, -1.5319757;Loire-Atlantique
Gîte de Painfaut;Gîte d'étapes;;;4, le pont de Painfaut;;44460;AVESSAC;;44007;47.65431;-1.988656;;07 64 42 81 37;;;;www.painfaut-avessac.fr;;;;;;;oui;;;non;;;;;Français;;oui;;3;;4;12;;oui;;;;;;Chèques bancaires et postaux,Espèces;;;;;;;;;;;VILPDL044000019;47.65431, -1.988656;Loire-Atlantique
L'Hermitage;Gîte de groupe;;;46 avenue du Paradis;;44290;GUEMENE-PENFAO;;44067;47.625982;-1.8194118;;06 72 39 78 50;02 40 79 23 48;;;www.campinglhermitage.com;Facebook||https://www.facebook.com/Camping-de-lHermitage-101245881485536/;;;;;WiFi;oui;;;non;Parking,Plain pied;;;;Anglais;Location de draps,Location/prêt de vélo,Option nettoyage / ménage;oui;;6;;;20;;oui;;;;;Nuitée / pers||||||;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V504SSQ;47.625982, -1.8194118;Loire-Atlantique
MAISON SAINT-DONATIEN;Centre d'accueil et/ou de vacances,Gîte de groupe,Gîte d'étapes;;;La Haye;;44590;DERVAL;;44051;47.6630858;-1.6647713;;06 18 94 65 10;02 40 07 70 49;;;https://maisonsaintdonatien.fr/;;;;;;;;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;;;oui;;;;;113;;oui;;;;;Forfait location privative de l'hébergement||90,00||250,00||Tarifs : consulter notre site web;;;;;;;;;;;;HCOLLPDL044V516YGR;47.6630858, -1.6647713;Loire-Atlantique
Domaine des Mille Oiseaux;Gîte de groupe;;;La Pironnière;;53170;VILLIERS-CHARLEMAGNE;;53273;47.933095;-0.681162;;06 95 04 76 55;;;;https://www.mille-oiseaux.com/fr;Facebook||https://www.facebook.com/domaine.milleoiseaux/,Instagram||https://www.instagram.com/domainedesmilleoiseaux/;;;;Non classé;Défibrillateur,Local vélo,WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;10;16;5;55;60;;;;;oui;||paysdelaloire-mb-prestataire.for-system.com/f92418_fr-.aspx||||||;Forfait location privative de l'hébergement||900,00||2900,00||Pour l'ensemble du domaine;;;;;;;;;;;;HCOLLPDL053V506JTP;47.933095, -0.681162;Mayenne
Gîte de groupe - La Bréhannière;Gîte de groupe;2012 route de Saussay;;;;72450;MONTFORT-LE-GESNOIS;;72241;48.0482299;0.419952;;;02 43 76 61 18;;;;;;;;Non classé;Piscine couverte,WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;Gîtes de France;3 épis;;Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit);oui;4;12;;30;30;oui;oui;;Delangle||06 09 35 71 25||gitetannerie@wanadoo.fr;;;Forfait location privative de l'hébergement||2200,00||4200,00||Piscine couverte et chauffée (supplément si location de celle-ci : 350€),;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL072V50IZGK;48.0482299, 0.419952;Sarthe
GÎTE LE CARPEDIEM;Gîte de groupe;7 bis rue Saint Jean;;;;44170;NOZAY;;44113;47.5662169;-1.6263366;;06 63 13 88 86;;;;http://gite-le-carpediem.fr/;;;;;;Espace bien-être,WiFi;;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;;;oui;10;6;;15;20;;;;;;;Forfait location privative de l'hébergement||||||Forfait week-end (du vendredi soir au lundi matin);;;;;;;;;;;;HCOLLPDL044V50D8GA;47.5662169, -1.6263366;Loire-Atlantique
Le logis de Bercé;Centre d'accueil et/ou de vacances,Gîte de groupe;;;16 rue  du 08 mai 1945;;72500;JUPILLES;;72153;47.792076;0.41187;Gare SNCF||Château du Loir - Montval sur Loir||12;06 35 94 98 03;;;;;;;;;2 étoiles;Défibrillateur;non;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;Français;Location de draps;oui;;3;1;31;31;;oui;15/04/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Charnal Ingrid||06 35 94 98 03||logis-jupilles@orange.fr,||0272881874||reservation@sarthe-developpement.com;;;Nuitée / pers||||||tarif week-end au delà de 20 personnes au couchage sans dépasser 31 personnes,Forfait week-end / pers||||||tarif week-end jusqu'à 20 personnes au couchage;Chèques bancaires et postaux,Virement;;;;;;;;;;;HCOLLPDL072V50028V;47.792076, 0.41187;Sarthe
Gîte de groupe le Relais de Misengrain;Centre d'accueil et/ou de vacances;;;20 rue Misengrain;Noyant-la-Gravoyère;49520;SEGRÉ-EN-ANJOU BLEU;;49331;47.7174468;-0.9650151;Gare SNCF||GARE  ST LAUD ANGERS||48,Gare routière||SEGRE||10,Aéroport/aérodrome||NANTES ATLANTIQUE||92;;02 41 61 71 96;;;http://www.relais-misengrain.com/;;;;;;WiFi;oui;;;non;Parking,Salle de réception;;;;Anglais,Français;Fourniture de draps (gratuit),Nettoyage / ménage (gratuit),Prestation de restauration;oui;0;29;;80;80;non;non;06/01/2025||30/03/2025||Ouverture WE sur réservation groupe||bureaux fermés à 19h-Fermeture le dimanche||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||15:00||||||||||||,01/04/2025||03/11/2025||||bureaux fermés le dimanche après-midi||08:00||20:00||||||08:00||20:00||||||08:00||20:00||||||08:00||20:00||||||08:00||20:00||||||08:00||20:00||||||08:00||14:00||||;Le Relais Misengrain||02 41 61 71 96||accueil@misengrain.fr;;;Nuitée / pers||28,50||50,00||28,50€ chambre trois lits,31,50€ chambre deux lits,50,00€ chambre individuelle,Petit-déjeuner / pers||7,00||7,00||,Taxe de séjour / nuit / pers||||||3% appliqué du 1er janvier au 31 décembre;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;;;;;;;;;;;HCOLLPDL049V50014I;47.7174468, -0.9650151;Maine-et-Loire
CHÂTEAU DE LA PLINGUETIÈRE;Auberge de jeunesse,Centre d'accueil et/ou de vacances,Gîte de groupe,Gîte d'étapes;;;51 route du champ de Foire;;44860;SAINT-AIGNAN-GRANDLIEU;;44150;47.128198;-1.6166124;Gare SNCF||Gare SNCF - accès Sud||11,27,Gare SNCF||Gare SNCF - accès Nord||11,4136,Aéroport/aérodrome||||3,50253,Gare maritime||||9,26053;;02 40 0216 42;02 4031 09 41;;http://www.plinguetiere.fr/;;https://vimeo.com/170160783;"https://vimeo.com/170160783<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;1 étoile;Climatisation,WiFi;oui;Supplément 7€ par jour. Les chiens doivent obligatoirement être tenue en laisse dans la propriété.;Déficience auditive,Déficience mentale,Déficience moteur,Déficience visuelle;oui;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;Accueil Vélo,Rando Accueil,UNAT;;Liaison Nantes-Machecoul;Anglais,Espagnol,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage / ménage (gratuit),Prestation de restauration;oui;35;61;;200;200;non;oui;||||||||09:00||12:30||14:00||17:00||09:00||12:30||14:00||17:00||09:00||12:30||14:00||17:00||09:00||12:30||14:00||17:00||09:00||12:30||14:00||17:00||||||||||||||||;;oui;||http://reservation.nantes-tourisme.com/fr/hebergements/a313146/HCOLLPDL044313146/reserver||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL044313146;47.128198, -1.6166124;Loire-Atlantique
Gîtes de groupe de la Buissonnière;Gîte de groupe;;;1 impasse Abbé Delugeau;Le Tremblay;49420;OMBRÉE D'ANJOU;;49248;47.678387;-1.0203182;Gare SNCF||Gare St Laud - ANGERS||50,Gare routière||SEGRÉ||15,Aéroport/aérodrome||NANTES||80;06 02 13 66 08;;;;http://labuissonniereags.com/fr/;Facebook||https://www.facebook.com/La-Buissonni%C3%A8re-AGS-1964852467076218/;;;;Non classé;WiFi;oui;;;non;Parking,Plain pied,Salle de réception;;;;Français;Option nettoyage / ménage;oui;6;13;1;37;45;non;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Chevallier||06 02 13 66 08||gitedelabuissonniere@gmail.com;;;Forfait location privative de l'hébergement||855,00||1396,00||,Taxe de séjour / nuit / pers||||||3% appliqué du 1er janvier au 31 décembre;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50014K;47.678387, -1.0203182;Maine-et-Loire
Gîte de la Charnie : Les Belmondières;Gîte de groupe;;;;Les Belmondières;72350;BRULON;;72050;47.9976151;-0.2419569;Gare SNCF||Gare TGV du Mans (Sud)||40,Autoroute||A81, Sortie n°1||10,Route (nationale/départ.)||||0,Aéroport/aérodrome||||200;06 95 87 94 15;;;;http://www.gites-charnie.com;Facebook||http://goo.gl/9p5vyh,Twitter||https://twitter.com/Gites_Charnie;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Espagnol,Français;Location de draps,Prestation de restauration;oui;;14;;43;53;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;non;||||||06 95 87 94 15||info@gites-charnie.com;Forfait location privative de l'hébergement||1495,00||3495,00||;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL072V50STUS;47.9976151, -0.2419569;Sarthe
GÎTE DE LA BARRE;Gîte de groupe;;;La Barre;;44660;FERCE;;44058;47.7932365;-1.3587107;Gare SNCF||||10;06 87 83 33 31;;;;https://gites-de-la-barre-brideul.fr/;;;;;;Piscine,WiFi;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;Gîtes de France;4 épis;;;Fourniture de draps (gratuit);;;8;;;24;;oui;||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLPDL044V5009SS;47.7932365, -1.3587107;Loire-Atlantique
Gîte d'étape - Le Marronnier (12 pers.);Gîte d'étapes;;Le Bourg;Le Marronnier;;53370;CHAMPFREMONT;;53052;48.425687;-0.090499;Gare SNCF||||17,Itinéraire de randonnée||Gr® de Pays Tour du Mont des Avaloirs||0,5;;07 71 63 44 74;;;;;;;;Non classé;;oui;;;non;Terrain clos;Gîtes de France;1 épi;;Français;;oui;;2;;12;12;;oui;;Pascale GASCHET||07 71 63 44 74||champfremont.mairie@wanadoo.fr;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLL873180385;48.425687, -0.090499;Mayenne
Gîte d'étape et de séjour - LES PERLES;Gîte d'étapes;;;LES PERLES;;53700;AVERTON;;53013;48.347427;-0.2453809;Gare SNCF||||20,Itinéraire de randonnée||Gr® de Pays Tour du Mont des Avaloirs||0,1;;06 34 16 32 87;;;;;;;;Non classé;;oui;;;non;Salle de réception;Gîtes de France;2 épis;;Anglais;;oui;;10;;;24;;oui;;BIGOT LAURENT||06 34 16 32 87||les.perles.averton@gmail.com;;;Forfait location privative de l'hébergement||||||la nuitée;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLL873180382;48.347427, -0.2453809;Mayenne
Gîte de groupe le Hameau de Cyprien;Gîte de groupe;;;Le Montigné;;53360;QUELAINES-SAINT-GAULT;;53186;47.944001;-0.761012;Gare SNCF||||24;06 85 58 60 63;;;;;Facebook||https://www.facebook.com/lehameaudecypriensalledereceptiondortoir;;;;Non classé;;non;;;non;Salle de réception;;;;Anglais,Espagnol;Location de draps,Option nettoyage / ménage;;;4;;;15;;;;BOIVIN Caroline||06 85 58 60 63||;oui;Airbnb||https://www.airbnb.fr/rooms/38068207?source_impression_id=p3_1738157229_P3NdovHEMY7SvW5m||||||;Nuitée / hébergement||50,00||50,00||,Taxe de séjour / nuit / pers||||||5% du tarif HT;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V5037KL;47.944001, -0.761012;Mayenne
